Customer ID,Recency,Frequency,Monetary,Customer Name,R_Score,F_Score,M_Score,RFM_Score,Segment,Marketing Idea
AH-10465,231,5,2495.3915999999995,Amy Hunt,5,3,3,533,Loyal Customers,Offer loyalty points or free gifts.
AH-10585,22,4,738.504,Angele Hood,1,4,5,145,At Risk,Send win-back offers or reminders.
AH-10690,411,12,7888.294,Anna Häberlin,5,1,1,511,New Customers,Send welcome emails and first-time coupons.
AI-10855,14,10,4375.786,Arianne Irving,1,1,1,111,Lost,Try re-engagement campaigns or surveys.
AJ-10780,76,7,4867.344,Anthony Jacobs,3,2,1,321,Others,General promotions and newsletters.
AJ-10795,167,7,4501.391,Anthony Johnson,4,2,1,421,New Customers,Send welcome emails and first-time coupons.
AJ-10945,86,7,1839.24,Ashley Jarboe,3,2,3,323,Others,General promotions and newsletters.
AJ-10960,75,3,629.2479999999999,Astrea Jones,3,5,5,355,Others,General promotions and newsletters.
AM-10360,29,5,814.012,Alice McCarthy,2,3,5,235,Others,General promotions and newsletters.
AM-10705,163,8,5664.022,Anne McFarland,4,2,1,421,New Customers,Send welcome emails and first-time coupons.
AO-10810,502,1,161.28,Anthony O'Donnell,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
AP-10720,42,8,1638.554,Anne Pryor,2,2,4,224,Others,General promotions and newsletters.
AP-10915,99,10,3323.556,Arthur Prichep,3,1,2,312,Others,General promotions and newsletters.
AR-10345,112,4,1055.694,Alex Russell,4,4,4,444,Champions,Give exclusive discounts or VIP rewards.
AR-10405,126,5,2236.1279999999997,Allen Rosenblatt,4,3,3,433,Loyal Customers,Offer loyalty points or free gifts.
AR-10510,15,5,264.86400000000003,Andrew Roberts,1,3,5,135,Others,General promotions and newsletters.
AR-10540,7,6,6608.448,Andy Reiter,1,3,1,131,Others,General promotions and newsletters.
AR-10570,535,1,88.15,Anemone Ratner,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
AR-10825,59,8,4523.336,Anthony Rawles,3,2,1,321,Others,General promotions and newsletters.
AS-10045,89,7,3050.692,Aaron Smayling,3,2,2,322,Others,General promotions and newsletters.
AS-10090,29,9,3255.31,Adam Shillingsburg,2,1,2,212,Lost,Try re-engagement campaigns or surveys.
AS-10135,42,2,58.82,Adrian Shami,2,5,5,255,At Risk,Send win-back offers or reminders.
AS-10225,23,5,4260.784,Alan Schoenberger,1,3,2,132,Others,General promotions and newsletters.
AS-10240,193,7,584.6080000000001,Alan Shonely,4,2,5,425,New Customers,Send welcome emails and first-time coupons.
AS-10285,20,6,3214.236,Alejandro Savely,1,3,2,132,Others,General promotions and newsletters.
AS-10630,93,7,833.398,Ann Steele,3,2,5,325,Others,General promotions and newsletters.
AT-10435,22,6,1171.814,Alyssa Tate,1,3,4,134,Others,General promotions and newsletters.
AT-10735,14,10,3831.864,Annie Thurman,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
AW-10840,21,4,649.3760000000001,Anthony Witt,1,4,5,145,At Risk,Send win-back offers or reminders.
AW-10930,47,7,2852.9680000000003,Arthur Wiediger,2,2,2,222,Lost,Try re-engagement campaigns or surveys.
AY-10555,15,4,497.014,Andy Yotov,1,4,5,145,At Risk,Send win-back offers or reminders.
AZ-10750,161,6,1622.018,Annie Zypern,4,3,4,434,Loyal Customers,Offer loyalty points or free gifts.
BB-10990,106,5,744.34,Barry Blumstein,4,4,5,445,Champions,Give exclusive discounts or VIP rewards.
BB-11545,29,9,6765.728,Brenda Bowman,2,1,1,211,Lost,Try re-engagement campaigns or surveys.
BC-11125,203,9,2933.6760000000004,Becky Castell,4,1,2,412,New Customers,Send welcome emails and first-time coupons.
BD-11320,34,12,5718.521000000001,Bill Donatelli,2,1,1,211,Lost,Try re-engagement campaigns or surveys.
BD-11500,36,6,4411.243,Bradley Drucker,2,3,1,231,Others,General promotions and newsletters.
BD-11560,279,2,320.54,Brendan Dodson,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
BD-11605,98,7,3288.471,Brian Dahlen,3,2,2,322,Others,General promotions and newsletters.
BD-11620,70,6,1538.1100000000001,Brian DeCherney,3,3,4,334,Others,General promotions and newsletters.
BD-11635,10,3,582.6460000000001,Brian Derr,1,5,5,155,At Risk,Send win-back offers or reminders.
BD-11725,94,6,1526.5,Bruce Degenhardt,3,3,4,334,Others,General promotions and newsletters.
BD-11770,328,6,658.466,Bryan Davis,5,3,5,535,Loyal Customers,Offer loyalty points or free gifts.
BE-11335,120,5,4204.676,Bill Eplett,4,4,2,442,Loyal Customers,Offer loyalty points or free gifts.
BE-11410,99,5,2261.438,Bobby Elias,3,4,3,343,Others,General promotions and newsletters.
BE-11455,255,6,1727.6520000000003,Brad Eason,5,3,4,534,Loyal Customers,Offer loyalty points or free gifts.
BF-10975,92,7,599.798,Barbara Fisher,3,2,5,325,Others,General promotions and newsletters.
BF-11005,40,4,1333.88,Barry Franz,2,4,4,244,At Risk,Send win-back offers or reminders.
BF-11020,75,8,2888.5060000000003,Barry Französisch,3,2,2,322,Others,General promotions and newsletters.
BF-11080,26,3,272.95,Bart Folk,1,5,5,155,At Risk,Send win-back offers or reminders.
BF-11170,17,11,5907.972000000001,Ben Ferrer,1,1,1,111,Lost,Try re-engagement campaigns or surveys.
BF-11215,66,4,1585.162,Benjamin Farhat,3,4,4,344,Others,General promotions and newsletters.
BF-11275,58,3,791.9899999999999,Beth Fritzler,3,5,5,355,Others,General promotions and newsletters.
BG-11035,29,8,2798.948,Barry Gonzalez,2,2,2,222,Lost,Try re-engagement campaigns or surveys.
BG-11695,37,6,1874.1719999999998,Brooke Gillingham,2,3,3,233,Others,General promotions and newsletters.
BG-11740,58,6,1006.356,Bruce Geld,3,3,4,334,Others,General promotions and newsletters.
BH-11710,24,8,6255.351000000001,Brosina Hoffman,1,2,1,121,Lost,Try re-engagement campaigns or surveys.
BK-11260,78,6,659.1379999999999,Berenike Kampe,3,3,5,335,Others,General promotions and newsletters.
BM-11140,308,4,11789.63,Becky Martin,5,4,1,541,Loyal Customers,Offer loyalty points or free gifts.
BM-11575,101,6,808.162,Brendan Murry,3,3,5,335,Others,General promotions and newsletters.
BM-11650,34,11,7294.185,Brian Moss,2,1,1,211,Lost,Try re-engagement campaigns or surveys.
BM-11785,219,10,1338.842,Bryan Mills,4,1,4,414,New Customers,Send welcome emails and first-time coupons.
BN-11470,25,4,265.296,Brad Norvell,1,4,5,145,At Risk,Send win-back offers or reminders.
BN-11515,10,5,1459.344,Bradley Nguyen,1,4,4,144,At Risk,Send win-back offers or reminders.
BO-11350,138,5,2682.728,Bill Overfelt,4,4,3,443,Loyal Customers,Offer loyalty points or free gifts.
BO-11425,76,2,130.83,Bobby Odegard,3,5,5,355,Others,General promotions and newsletters.
BP-11050,84,5,983.42,Barry Pond,3,4,4,344,Others,General promotions and newsletters.
BP-11095,18,12,2442.044,Bart Pistole,1,1,3,113,Others,General promotions and newsletters.
BP-11155,90,6,1697.8609999999999,Becky Pak,3,3,4,334,Others,General promotions and newsletters.
BP-11185,2,9,3675.861,Ben Peterman,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
BP-11230,40,5,1181.49,Benjamin Patterson,2,4,4,244,At Risk,Send win-back offers or reminders.
BP-11290,13,7,2475.157,Beth Paige,1,2,3,123,Others,General promotions and newsletters.
BS-11365,559,5,10501.653,Bill Shonely,5,4,1,541,Loyal Customers,Offer loyalty points or free gifts.
BS-11380,29,5,3887.834,Bill Stewart,2,4,2,242,At Risk,Send win-back offers or reminders.
BS-11590,36,6,2454.928,Brendan Sweed,2,3,3,233,Others,General promotions and newsletters.
BS-11665,583,3,3288.1100000000006,Brian Stugart,5,5,2,552,Loyal Customers,Offer loyalty points or free gifts.
BS-11755,2,7,2562.382,Bruce Stewart,1,2,3,123,Others,General promotions and newsletters.
BS-11800,266,2,949.4300000000001,Bryan Spruell,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
BT-11305,337,5,2567.656,Beth Thompson,5,4,3,543,Loyal Customers,Offer loyalty points or free gifts.
BT-11395,303,6,2186.6130000000003,Bill Tyler,5,3,3,533,Loyal Customers,Offer loyalty points or free gifts.
BT-11440,561,4,603.876,Bobby Trafton,5,4,5,545,Champions,Give exclusive discounts or VIP rewards.
BT-11485,660,2,415.19599999999997,Brad Thomas,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
BT-11530,92,5,2684.492,Bradley Talbott,3,4,3,343,Others,General promotions and newsletters.
BT-11680,21,7,3196.752,Brian Thompson,1,2,2,122,Lost,Try re-engagement campaigns or surveys.
BV-11245,335,5,1523.2730000000001,Benjamin Venier,5,4,4,544,Champions,Give exclusive discounts or VIP rewards.
BW-11065,213,3,385.516,Barry Weirich,4,5,5,455,Champions,Give exclusive discounts or VIP rewards.
BW-11110,122,8,4750.358,Bart Watters,4,2,1,421,New Customers,Send welcome emails and first-time coupons.
BW-11200,204,6,1738.406,Ben Wallace,4,3,4,434,Loyal Customers,Offer loyalty points or free gifts.
CA-11965,97,6,3789.7228,Carol Adams,3,3,2,332,Others,General promotions and newsletters.
CA-12055,402,5,1679.7240000000002,Cathy Armstrong,5,4,4,544,Champions,Give exclusive discounts or VIP rewards.
CA-12265,57,9,2648.2872,Christina Anderson,3,1,3,313,Others,General promotions and newsletters.
CA-12310,14,4,1421.954,Christine Abelman,1,4,4,144,At Risk,Send win-back offers or reminders.
CA-12775,121,7,3041.5660000000003,Cynthia Arntzen,4,2,2,422,New Customers,Send welcome emails and first-time coupons.
CB-12025,48,10,6076.139,Cassandra Brandow,2,1,1,211,Lost,Try re-engagement campaigns or surveys.
CB-12415,27,8,1949.2,Christy Brittain,1,2,3,123,Others,General promotions and newsletters.
CB-12535,198,8,4246.4555,Claudia Bergmann,4,2,2,422,New Customers,Send welcome emails and first-time coupons.
CC-12100,458,6,1770.9450000000002,Chad Cunningham,5,3,3,533,Loyal Customers,Offer loyalty points or free gifts.
CC-12145,107,7,2471.65,Charles Crestani,4,2,3,423,New Customers,Send welcome emails and first-time coupons.
CC-12220,21,12,3913.4179999999997,Chris Cortes,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
CC-12370,44,5,12129.072,Christopher Conant,2,4,1,241,At Risk,Send win-back offers or reminders.
CC-12430,1,10,2870.05,Chuck Clark,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
CC-12475,40,9,1659.438,Cindy Chapman,2,1,4,214,Others,General promotions and newsletters.
CC-12550,28,3,113.832,Clay Cheatham,2,5,5,255,At Risk,Send win-back offers or reminders.
CC-12610,35,7,2540.631,Corey Catlett,2,2,3,223,Others,General promotions and newsletters.
CC-12670,30,7,2269.7015,Craig Carreira,2,2,3,223,Others,General promotions and newsletters.
CC-12685,800,4,2854.1150000000002,Craig Carroll,5,4,2,542,Loyal Customers,Offer loyalty points or free gifts.
CD-11920,41,5,2033.968,Carlos Daly,2,4,3,243,At Risk,Send win-back offers or reminders.
CD-11980,55,3,639.7660000000001,Carol Darley,3,5,5,355,Others,General promotions and newsletters.
CD-12280,43,2,1205.584,Christina DeMoss,2,5,4,254,At Risk,Send win-back offers or reminders.
CD-12790,400,5,1860.732,Cynthia Delaney,5,4,3,543,Loyal Customers,Offer loyalty points or free gifts.
CG-12040,50,6,904.4680000000001,Catherine Glotzbach,2,3,5,235,Others,General promotions and newsletters.
CG-12520,339,3,1148.78,Claire Gute,5,5,4,554,Champions,Give exclusive discounts or VIP rewards.
CH-12070,692,3,1537.236,Cathy Hwang,5,5,4,554,Champions,Give exclusive discounts or VIP rewards.
CJ-11875,366,1,16.520000000000003,Carl Jackson,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
CJ-12010,190,8,11164.974,Caroline Jumper,4,2,1,421,New Customers,Send welcome emails and first-time coupons.
CK-12205,40,13,3154.855,Chloris Kastensmidt,2,1,2,212,Lost,Try re-engagement campaigns or surveys.
CK-12325,121,5,2945.321,Christine Kargatis,4,4,2,442,Loyal Customers,Offer loyalty points or free gifts.
CK-12595,44,11,2372.75,Clytie Kelty,2,1,3,213,Others,General promotions and newsletters.
CK-12760,83,9,1582.1090000000002,Cyma Kinney,3,1,4,314,Others,General promotions and newsletters.
CL-11890,107,4,1262.0140000000001,Carl Ludwig,4,4,4,444,Champions,Give exclusive discounts or VIP rewards.
CL-12565,285,12,10880.546,Clay Ludtke,5,1,1,511,New Customers,Send welcome emails and first-time coupons.
CL-12700,106,5,2353.586,Craig Leslie,4,4,3,443,Loyal Customers,Offer loyalty points or free gifts.
CM-11815,132,6,1673.8880000000001,Candace McMahon,4,3,4,434,Loyal Customers,Offer loyalty points or free gifts.
CM-11935,709,2,565.392,Carlos Meador,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
CM-12115,9,4,1661.6100000000001,Chad McGuire,1,4,4,144,At Risk,Send win-back offers or reminders.
CM-12160,27,6,2533.314,Charles McCrossin,1,3,3,133,Others,General promotions and newsletters.
CM-12190,9,6,1475.144,Charlotte Melton,1,3,4,134,Others,General promotions and newsletters.
CM-12235,386,5,2305.712,Chris McAfee,5,4,3,543,Loyal Customers,Offer loyalty points or free gifts.
CM-12385,38,4,8954.019999999999,Christopher Martinez,2,4,1,241,At Risk,Send win-back offers or reminders.
CM-12445,437,3,287.99,Chuck Magee,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
CM-12655,28,6,6339.5576,Corinna Mitchell,2,3,1,231,Others,General promotions and newsletters.
CM-12715,1036,4,3984.4524,Craig Molinari,5,4,2,542,Loyal Customers,Offer loyalty points or free gifts.
CP-12085,83,8,5402.253999999999,Cathy Prescott,3,2,1,321,Others,General promotions and newsletters.
CP-12340,161,8,5888.275,Christine Phan,4,2,1,421,New Customers,Send welcome emails and first-time coupons.
CR-12580,58,4,2148.8519999999994,Clay Rozendal,3,4,3,343,Others,General promotions and newsletters.
CR-12625,471,3,475.9000000000001,Corey Roper,5,5,5,555,Champions,Give exclusive discounts or VIP rewards.
CR-12730,79,4,1600.55,Craig Reiter,3,4,4,344,Others,General promotions and newsletters.
CR-12820,86,3,1397.8724,Cyra Reiten,3,5,4,354,Others,General promotions and newsletters.
CS-11845,92,5,1278.954,Cari Sayre,3,4,4,344,Others,General promotions and newsletters.
CS-11860,163,6,537.632,Cari Schnelling,4,3,5,435,Loyal Customers,Offer loyalty points or free gifts.
CS-11950,26,11,3036.547,Carlos Soltero,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
CS-12130,490,4,884.6400000000001,Chad Sievert,5,4,5,545,Champions,Give exclusive discounts or VIP rewards.
CS-12175,233,5,844.4580000000001,Charles Sheldon,5,4,5,545,Champions,Give exclusive discounts or VIP rewards.
CS-12250,27,12,2754.216,Chris Selesnick,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
CS-12355,7,11,3202.162,Christine Sundaresam,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
CS-12400,3,9,3651.8585000000003,Christopher Schild,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
CS-12460,28,2,550.644,Chuck Sachs,2,5,5,255,At Risk,Send win-back offers or reminders.
CS-12490,425,4,1077.2285000000002,Cindy Schnelling,5,4,4,544,Champions,Give exclusive discounts or VIP rewards.
CS-12505,59,6,5690.055,Cindy Stewart,3,3,1,331,Others,General promotions and newsletters.
CT-11995,97,8,3241.898,Carol Triggs,3,2,2,322,Others,General promotions and newsletters.
CV-12295,255,5,2830.6279999999997,Christina VanderZanden,5,4,2,542,Loyal Customers,Offer loyalty points or free gifts.
CV-12805,6,9,2370.3136,Cynthia Voltz,1,1,3,113,Others,General promotions and newsletters.
CW-11905,23,6,1136.592,Carl Weiss,1,3,4,134,Others,General promotions and newsletters.
CY-12745,61,8,2900.0260000000003,Craig Yedwab,3,2,2,322,Others,General promotions and newsletters.
Co-12640,550,5,1300.076,Corey-Lock,5,4,4,544,Champions,Give exclusive discounts or VIP rewards.
DA-13450,353,4,156.76,Dianna Arnett,5,4,5,545,Champions,Give exclusive discounts or VIP rewards.
DB-12910,22,8,2171.599,Daniel Byrd,1,2,3,123,Others,General promotions and newsletters.
DB-12970,242,5,2839.2272,Darren Budd,5,4,2,542,Loyal Customers,Offer loyalty points or free gifts.
DB-13060,17,7,4531.646000000001,Dave Brooks,1,2,1,121,Lost,Try re-engagement campaigns or surveys.
DB-13120,49,7,2973.094,David Bremer,2,2,2,222,Lost,Try re-engagement campaigns or surveys.
DB-13210,10,10,2332.5769999999998,Dean Braden,1,1,3,113,Others,General promotions and newsletters.
DB-13270,54,8,4655.897,Deborah Brumfield,2,2,1,221,Lost,Try re-engagement campaigns or surveys.
DB-13360,265,5,1081.466,Dennis Bolton,5,4,4,544,Champions,Give exclusive discounts or VIP rewards.
DB-13405,188,4,1711.692,Denny Blanton,4,4,4,444,Champions,Give exclusive discounts or VIP rewards.
DB-13555,108,7,3908.8028,Dorothy Badders,4,2,2,422,New Customers,Send welcome emails and first-time coupons.
DB-13615,34,7,1989.05,Doug Bickford,2,2,3,223,Others,General promotions and newsletters.
DB-13660,13,7,1155.202,Duane Benoit,1,2,4,124,Others,General promotions and newsletters.
DC-12850,38,9,3336.1680000000006,Dan Campbell,2,1,2,212,Lost,Try re-engagement campaigns or surveys.
DC-13285,24,5,1174.618,Debra Catini,1,4,4,144,At Risk,Send win-back offers or reminders.
DD-13570,42,6,269.54200000000003,Dorothy Dickinson,2,3,5,235,Others,General promotions and newsletters.
DE-13255,720,5,2550.874,Deanra Eno,5,4,3,543,Loyal Customers,Offer loyalty points or free gifts.
DF-13135,701,3,2390.534,David Flashing,5,5,3,553,Loyal Customers,Offer loyalty points or free gifts.
DG-13300,33,5,3195.818,Deirdre Greer,2,4,2,242,At Risk,Send win-back offers or reminders.
DH-13075,278,6,4932.872,Dave Hallsten,5,3,1,531,Loyal Customers,Offer loyalty points or free gifts.
DH-13675,777,4,1043.096,Duane Huffman,5,4,4,544,Champions,Give exclusive discounts or VIP rewards.
DJ-13420,638,4,2012.52,Denny Joy,5,4,3,543,Loyal Customers,Offer loyalty points or free gifts.
DJ-13510,49,8,2501.688,Don Jones,2,2,3,223,Others,General promotions and newsletters.
DJ-13630,13,3,3356.398,Doug Jacobs,1,5,2,152,At Risk,Send win-back offers or reminders.
DK-12835,22,12,3256.48,Damala Kotsonis,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
DK-12895,46,5,4282.176,Dana Kaydos,2,4,2,242,At Risk,Send win-back offers or reminders.
DK-12985,8,5,1687.04,Darren Koutras,1,4,4,144,At Risk,Send win-back offers or reminders.
DK-13090,43,7,2650.557,Dave Kipp,2,2,3,223,Others,General promotions and newsletters.
DK-13150,11,2,797.832,David Kendrick,1,5,5,155,At Risk,Send win-back offers or reminders.
DK-13225,11,9,4802.394,Dean Katz,1,1,1,111,Lost,Try re-engagement campaigns or surveys.
DK-13375,20,8,3318.486,Dennis Kane,1,2,2,122,Lost,Try re-engagement campaigns or surveys.
DL-12865,101,8,1503.112,Dan Lawera,3,2,4,324,Others,General promotions and newsletters.
DL-12925,58,6,3272.2,Daniel Lacy,3,3,2,332,Others,General promotions and newsletters.
DL-13315,23,8,1458.258,Delfina Latchford,1,2,4,124,Others,General promotions and newsletters.
DL-13330,58,4,585.02,Denise Leinenbach,3,4,5,345,Others,General promotions and newsletters.
DL-13495,77,8,3539.322,Dionis Lloyd,3,2,2,322,Others,General promotions and newsletters.
DM-12955,115,7,1322.034,Dario Medina,4,2,4,424,New Customers,Send welcome emails and first-time coupons.
DM-13015,58,7,6345.103,Darrin Martin,3,2,1,321,Others,General promotions and newsletters.
DM-13345,23,8,4074.4720000000007,Denise Monton,1,2,2,122,Lost,Try re-engagement campaigns or surveys.
DM-13525,482,3,1376.792,Don Miller,5,5,4,554,Champions,Give exclusive discounts or VIP rewards.
DN-13690,218,7,2139.79,Duane Noonan,4,2,3,423,New Customers,Send welcome emails and first-time coupons.
DO-13435,134,9,1300.0315,Denny Ordway,4,1,4,414,New Customers,Send welcome emails and first-time coupons.
DO-13645,27,7,1267.316,Doug O'Connell,1,2,4,124,Others,General promotions and newsletters.
DP-13000,127,9,1050.636,Darren Powers,4,1,4,414,New Customers,Send welcome emails and first-time coupons.
DP-13105,7,8,2215.002,Dave Poirier,1,2,3,123,Others,General promotions and newsletters.
DP-13165,813,2,1058.616,David Philippe,5,5,4,554,Champions,Give exclusive discounts or VIP rewards.
DP-13390,359,9,5480.724,Dennis Pardue,5,1,1,511,New Customers,Send welcome emails and first-time coupons.
DR-12880,4,9,6528.034000000001,Dan Reichenbach,1,1,1,111,Lost,Try re-engagement campaigns or surveys.
DR-12940,51,8,8350.868,Daniel Raglin,2,2,1,221,Lost,Try re-engagement campaigns or surveys.
DS-13030,94,4,1762.213,Darrin Sayre,3,4,3,343,Others,General promotions and newsletters.
DS-13180,24,9,2881.8128,David Smith,1,1,2,112,Lost,Try re-engagement campaigns or surveys.
DV-13045,20,5,1119.4830000000002,Darrin Van Huff,1,4,4,144,At Risk,Send win-back offers or reminders.
DV-13465,30,6,3341.5870000000004,Dianna Vittorini,2,3,2,232,Others,General promotions and newsletters.
DW-13195,70,6,1080.751,David Wiener,3,3,4,334,Others,General promotions and newsletters.
DW-13480,218,5,5271.628,Dianna Wilson,4,4,1,441,Loyal Customers,Offer loyalty points or free gifts.
DW-13540,99,5,344.08000000000004,Don Weiss,3,4,5,345,Others,General promotions and newsletters.
DW-13585,243,7,1204.854,Dorothy Wardle,5,2,4,524,New Customers,Send welcome emails and first-time coupons.
Dl-13600,120,5,755.602,Dorris liebe,4,4,5,445,Champions,Give exclusive discounts or VIP rewards.
Dp-13240,85,11,7198.7609999999995,Dean percer,3,1,1,311,Others,General promotions and newsletters.
EA-14035,153,13,2846.705,Erin Ashbrook,4,1,2,412,New Customers,Send welcome emails and first-time coupons.
EB-13705,49,9,3644.978,Ed Braxton,2,1,2,212,Lost,Try re-engagement campaigns or surveys.
EB-13750,36,10,3236.314,Edward Becker,2,1,2,212,Lost,Try re-engagement campaigns or surveys.
EB-13840,91,5,4358.128,Ellis Ballard,3,4,1,341,Others,General promotions and newsletters.
EB-13870,101,10,2767.219,Emily Burns,3,1,2,312,Others,General promotions and newsletters.
EB-13930,162,5,944.5999999999999,Eric Barreto,4,4,5,445,Champions,Give exclusive discounts or VIP rewards.
EB-13975,1,4,1643.255,Erica Bern,1,4,4,144,At Risk,Send win-back offers or reminders.
EB-14110,114,6,3071.126,Eugene Barchas,4,3,2,432,Loyal Customers,Offer loyalty points or free gifts.
EB-14170,83,6,1186.326,Evan Bailliet,3,3,4,334,Others,General promotions and newsletters.
EC-14050,54,5,461.914,Erin Creighton,3,4,5,345,Others,General promotions and newsletters.
ED-13885,136,8,3484.92,Emily Ducich,4,2,2,422,New Customers,Send welcome emails and first-time coupons.
EG-13900,23,5,1832.02,Emily Grady,1,4,3,143,At Risk,Send win-back offers or reminders.
EH-13765,136,12,10310.880000000001,Edward Hooks,4,1,1,411,New Customers,Send welcome emails and first-time coupons.
EH-13945,218,8,684.171,Eric Hoffmann,4,2,5,425,New Customers,Send welcome emails and first-time coupons.
EH-13990,406,6,825.95,Erica Hackney,5,3,5,535,Loyal Customers,Offer loyalty points or free gifts.
EH-14005,3,7,1219.53,Erica Hernandez,1,2,4,124,Others,General promotions and newsletters.
EH-14125,153,10,3082.6530000000002,Eugene Hildebrand,4,1,2,412,New Customers,Send welcome emails and first-time coupons.
EH-14185,106,6,923.884,Evan Henry,4,3,5,435,Loyal Customers,Offer loyalty points or free gifts.
EJ-13720,303,4,2162.174,Ed Jacobs,5,4,3,543,Loyal Customers,Offer loyalty points or free gifts.
EJ-14155,58,5,2656.6910000000003,Eva Jacobs,3,4,3,343,Others,General promotions and newsletters.
EK-13795,45,4,1303.478,Eileen Kiefer,2,4,4,244,At Risk,Send win-back offers or reminders.
EL-13735,78,2,124.28,Ed Ludwig,3,5,5,355,Others,General promotions and newsletters.
EM-13810,133,5,2567.01,Eleni McCrary,4,4,3,443,Loyal Customers,Offer loyalty points or free gifts.
EM-13825,56,8,2339.598,Elizabeth Moffitt,3,2,3,323,Others,General promotions and newsletters.
EM-13960,152,5,933.7040000000001,Eric Murdock,4,4,5,445,Champions,Give exclusive discounts or VIP rewards.
EM-14065,48,4,228.99,Erin Mull,2,4,5,245,At Risk,Send win-back offers or reminders.
EM-14095,114,4,1041.0420000000001,Eudokia Martin,4,5,4,454,Champions,Give exclusive discounts or VIP rewards.
EM-14140,49,6,4588.436,Eugene Moren,2,3,1,231,Others,General promotions and newsletters.
